nodo,puerto,consulta,repeticion,tiempo_ms,filas
nodo1,26257,Q1_reportes_pendientes,1,3.2999,100
nodo1,26257,Q1_reportes_pendientes,2,3.3913,100
nodo1,26257,Q1_reportes_pendientes,3,3.3399,100
nodo1,26257,Q1_reportes_pendientes,4,3.75,100
nodo1,26257,Q1_reportes_pendientes,5,3.9018,100
nodo1,26257,Q1_reportes_pendientes,6,3.4285,100
nodo1,26257,Q1_reportes_pendientes,7,5.4644,100
nodo1,26257,Q1_reportes_pendientes,8,3.4787,100
nodo1,26257,Q1_reportes_pendientes,9,3.6163,100
nodo1,26257,Q1_reportes_pendientes,10,4.1166,100
nodo1,26257,Q2_reportes_en_proceso,1,9.6608,200
nodo1,26257,Q2_reportes_en_proceso,2,8.443,200
nodo1,26257,Q2_reportes_en_proceso,3,9.4586,200
nodo1,26257,Q2_reportes_en_proceso,4,9.1925,200
nodo1,26257,Q2_reportes_en_proceso,5,13.7685,200
nodo1,26257,Q2_reportes_en_proceso,6,7.8644,200
nodo1,26257,Q2_reportes_en_proceso,7,8.4521,200
nodo1,26257,Q2_reportes_en_proceso,8,9.9874,200
nodo1,26257,Q2_reportes_en_proceso,9,9.9621,200
nodo1,26257,Q2_reportes_en_proceso,10,8.8819,200
nodo1,26257,Q3_reportes_resueltos_join,1,8.391,250
nodo1,26257,Q3_reportes_resueltos_join,2,9.1491,250
nodo1,26257,Q3_reportes_resueltos_join,3,9.142,250
nodo1,26257,Q3_reportes_resueltos_join,4,8.288,250
nodo1,26257,Q3_reportes_resueltos_join,5,12.6293,250
nodo1,26257,Q3_reportes_resueltos_join,6,9.5098,250
nodo1,26257,Q3_reportes_resueltos_join,7,10.1651,250
nodo1,26257,Q3_reportes_resueltos_join,8,7.6598,250
nodo1,26257,Q3_reportes_resueltos_join,9,7.856,250
nodo1,26257,Q3_reportes_resueltos_join,10,9.0765,250
nodo1,26257,Q4_reportes_por_laboratorio,1,8.449,60
nodo1,26257,Q4_reportes_por_laboratorio,2,8.5999,60
nodo1,26257,Q4_reportes_por_laboratorio,3,9.4691,60
nodo1,26257,Q4_reportes_por_laboratorio,4,7.7257,60
nodo1,26257,Q4_reportes_por_laboratorio,5,13.1681,60
nodo1,26257,Q4_reportes_por_laboratorio,6,8.6363,60
nodo1,26257,Q4_reportes_por_laboratorio,7,8.9882,60
nodo1,26257,Q4_reportes_por_laboratorio,8,8.1254,60
