nodo,puerto,consulta,repeticion,tiempo_ms,filas
single,26260,Q1_reportes_pendientes,1,4.7853,100
single,26260,Q1_reportes_pendientes,2,4.7952,100
single,26260,Q1_reportes_pendientes,3,7.7499,100
single,26260,Q1_reportes_pendientes,4,4.6268,100
single,26260,Q1_reportes_pendientes,5,9.4157,100
single,26260,Q1_reportes_pendientes,6,5.9803,100
single,26260,Q1_reportes_pendientes,7,4.5069,100
single,26260,Q1_reportes_pendientes,8,4.7176,100
single,26260,Q1_reportes_pendientes,9,5.0831,100
single,26260,Q1_reportes_pendientes,10,3.324,100
single,26260,Q2_reportes_en_proceso,1,6.6259,200
single,26260,Q2_reportes_en_proceso,2,6.3032,200
single,26260,Q2_reportes_en_proceso,3,5.7186,200
single,26260,Q2_reportes_en_proceso,4,4.1134,200
single,26260,Q2_reportes_en_proceso,5,9.886,200
single,26260,Q2_reportes_en_proceso,6,5.7308,200
single,26260,Q2_reportes_en_proceso,7,5.6722,200
single,26260,Q2_reportes_en_proceso,8,6.1031,200
single,26260,Q2_reportes_en_proceso,9,6.4463,200
single,26260,Q2_reportes_en_proceso,10,6.4105,200
single,26260,Q3_reportes_resueltos_join,1,11.5926,250
single,26260,Q3_reportes_resueltos_join,2,11.4779,250
single,26260,Q3_reportes_resueltos_join,3,13.2825,250
single,26260,Q3_reportes_resueltos_join,4,15.8367,250
single,26260,Q3_reportes_resueltos_join,5,16.4577,250
single,26260,Q3_reportes_resueltos_join,6,11.8976,250
single,26260,Q3_reportes_resueltos_join,7,9.9898,250
single,26260,Q3_reportes_resueltos_join,8,16.3924,250
single,26260,Q3_reportes_resueltos_join,9,10.567,250
single,26260,Q3_reportes_resueltos_join,10,10.4647,250
single,26260,Q4_reportes_por_laboratorio,1,8.2174,60
single,26260,Q4_reportes_por_laboratorio,2,7.6686,60
single,26260,Q4_reportes_por_laboratorio,3,7.0448,60
single,26260,Q4_reportes_por_laboratorio,4,6.975,60
single,26260,Q4_reportes_por_laboratorio,5,10.8658,60
single,26260,Q4_reportes_por_laboratorio,6,7.7433,60
single,26260,Q4_reportes_por_laboratorio,7,7.3246,60
single,26260,Q4_reportes_por_laboratorio,8,7.4145,60
single,26260,Q4_reportes_por_laboratorio,9,9.5873,60
single,26260,Q4_reportes_por_laboratorio,10,7.099,60
single,26260,Q5_equipos_con_mas_fallos,1,14.015,100
single,26260,Q5_equipos_con_mas_fallos,2,14.9135,100
single,26260,Q5_equipos_con_mas_fallos,3,15.3182,100
single,26260,Q5_equipos_con_mas_fallos,4,12.4772,100
single,26260,Q5_equipos_con_mas_fallos,5,31.5092,100
single,26260,Q5_equipos_con_mas_fallos,6,13.3108,100
single,26260,Q5_equipos_con_mas_fallos,7,14.2025,100
single,26260,Q5_equipos_con_mas_fallos,8,12.9097,100
single,26260,Q5_equipos_con_mas_fallos,9,12.1114,100
single,26260,Q5_equipos_con_mas_fallos,10,12.0774,100
